Niveau.N.1.0,Sup_Ha.N.11.2,Annee.C.4
2,163.22,1989
2,31.02,1989
2,29.23,1989
1,15.64,1989
1,933.04,1989
1,15.89,1989
1,4.65,1989
2,1410.95,1989
2,746.76,1989
1,22.71,1989
2,36.42,1989
3,32.27,1989
1,4.86,1989
1,130.94,1989
1,6567.43,1989
2,12.81,1989
2,37.65,1989
1,62.08,1989
2,71.82,1989
2,201.62,1989
2,74.1,1989
1,8.24,1989
1,324.73,1989
2,11.42,1989
2,33.45,1989
2,35.19,1989
3,11.52,1989
1,591.09,1989
3,366.8,1989
1,8.75,1989
1,2.98,1989
2,21.96,1989
2,222.28,1989
1,108.97,1989
1,47.46,1989
1,84.23,1989
2,130.97,1989
2,155.59,1989
2,110.91,1989
2,294.6,1989
2,32.32,1989
2,32.51,1989
2,97.62,1989
1,104.09,1989
2,52.16,1989
2,177.33,1989
1,1729.87,1989
1,5.51,1989
1,8.74,1989
1,3.08,1989
1,2.31,1989
1,8.66,1989
2,185.79,1989
1,853.03,1989
2,36.33,1989
2,415.92,1989
3,265.42,1989
1,8.33,1989
2,"158,00",1989
2,22.28,1989
1,254.76,1989
2,27.02,1989
1,47.52,1989
2,787.01,1989
3,132.74,1989
3,192.27,1989
1,190.94,1989
2,36.84,1989
2,28.55,1989
2,175.97,1989
2,49.17,1989
3,78.4,1989
2,409.84,1989
1,34.87,1989
1,210.2,1989
2,68.84,1989
2,93.41,1989
1,3837.98,1989
2,366.28,1989
2,18.74,1989
2,31.22,1989
1,4861.53,1989
2,3429.53,1989
1,26.63,1989
2,2550.88,1989
3,145.65,1989
2,53.79,1989
1,470.57,1989
2,345.5,1989
2,45.47,1989
2,115.08,1989
2,"54,00",1989
1,35.26,1989
1,77.48,1989
3,79.31,1989
1,35.32,1989
2,71.43,1989
2,120.16,1989
2,711.33,1989
2,75.98,1989
2,682.26,1989
3,47.68,1989
3,14.55,1989
3,113.87,1989
2,18.19,1989
3,16.63,1989
1,892.38,1989
3,13.4,1989
2,62.25,1989
1,20.23,1989
1,87.59,1989
1,101.45,1989
3,26.4,1989
3,21.93,1989
3,21.3,1989
3,478.05,1989
3,23.15,1989
2,17.48,1989
3,24.76,1989
1,8.01,1989
2,330.44,1989
3,8.64,1989
1,305.41,1989
1,1003.56,1989
2,30.12,1989
1,101.62,1989
2,23.48,1989
2,2384.95,1989
3,36.71,1989
2,146.89,1989
2,57.3,1989
3,299.71,1989
1,1620.9,1989
2,101.29,1989
1,26.46,1989
1,89.55,1989
2,94.6,1989
2,108.16,1989
2,64.81,1989
1,197.4,1989
3,30.31,1989
2,100.37,1989
2,788.01,1989
2,64.53,1989
1,1144.67,1989
2,44.53,1989
2,29.36,1989
1,27.26,1989
2,18.81,1989
1,1680.6,1989
1,52.29,1989
2,48.46,1993
2,242.51,1993
2,345.13,1993
3,38.09,1993
1,138.44,1993
2,21.98,1993
1,86.67,1993
1,376.83,1993
2,553.08,1993
1,126.34,1993
1,279.51,1993
1,457.58,1993
2,86.77,1993
2,27.93,1993
2,61.11,1993
2,43.53,1993
2,37.61,1993
2,61.89,1993
2,74.6,1993
2,249.7,1993
2,85.12,1993
1,79.72,1993
1,34.17,1993
2,260.95,1993
3,36.35,1993
2,76.57,1993
2,60.26,1993
3,28.17,1993
2,181.33,1993
2,282.98,1993
1,36.93,1993
1,45.41,1993
2,70.69,1993
2,1753.02,1993
2,54.36,1993
2,468.54,1993
2,78.63,1993
2,45.62,1993
2,37.92,1993
2,50.84,1993
2,216.77,1993
2,165.88,1993
2,125.64,1993
3,365.88,1993
2,421.25,1993
2,317.47,1995
2,25.34,1995
2,1447.78,2002
1,252.81,2002
1,53.85,2002
1,44.04,2002
2,264.77,2002
3,343.45,2002
2,34.95,2002
3,115.97,2002
3,22.92,2002
2,689.42,2002
2,26.15,2002
2,168.18,2002
3,753.92,2002
2,9.42,2002
2,17.58,2002
2,236.68,2002
3,17996.19,2002
3,18.27,2002
3,467.35,2002
2,40.72,2002
3,92.44,2002
2,22.77,2002
1,82.96,2002
2,155.5,2002
2,148.39,2002
2,148.39,2002
3,23.28,2002
3,2664.75,2002
2,347.64,2002
2,425.29,2002
3,1144.25,2002
3,2280.91,2002
3,54.25,2002
1,104.95,2002
1,14.45,2002
1,92.15,2002
1,1799.42,2002
2,1798.98,2002
2,27.37,2002
2,535.06,2002
1,85.07,2002
1,37.23,2002
1,68.92,2002
1,377.66,2002
1,29.32,2002
1,49.47,2002
1,91.18,2002
2,164.14,2002
2,31.9,2002
2,12.79,2002
1,263.27,2002
1,59.25,2002
1,19.82,2002
3,10.63,2002
1,17.65,2002
1,35.14,2002
1,249.09,2002
2,10.3,2002
3,54.31,2002
3,167.68,2002
3,35.21,2002
2,46.67,2002
2,222.39,2002
1,166.15,2002
3,88.73,1995
2,224.91,1995
2,20.86,1995
2,12.79,1995
1,151.54,1995
1,732.53,1995
1,25.94,1995
1,314.51,1995
1,161.34,1995
1,55.42,1995
1,54.75,1995
1,4.83,1995
2,179.58,1995
1,399.67,1995
2,60.25,1995
2,89.94,1995
1,53.11,1995
1,118.57,1995
1,67.89,1995
1,52.51,1995
1,53.13,1995
1,182.59,1995
1,43.01,1995
1,115.96,1995
1,8.8,1995
1,43.8,1995
1,2.97,1995
1,43.36,1995
1,107.55,1995
1,14.68,1995
1,13.94,1995
1,56.88,1995
1,83.96,1995
1,151.15,1995
1,152.64,1995
1,121.32,1995
1,91.77,1995
1,145.29,1995
1,113.18,2002
3,435.9,2002
2,408.5,2002
3,5750.22,2002
1,63.41,2002
1,46.15,1995
3,12.67,2002
2,107.97,2002
2,165.69,2002
3,131.49,2002
3,58.43,2002
1,15.04,2002
1,348.13,2002
1,118.35,2002
1,246.22,2002
1,2519.48,2002
1,31.63,2002
1,226.84,2002
1,330.28,2002
1,166.63,2002
1,30.96,2002
2,24.3,2002
2,534.78,2002
2,534.78,2002
2,148.53,2002
1,19.95,2002
1,13.69,2002
1,17.92,2002
1,19.86,1993
1,33.29,1993
2,1343.7,1993
2,368.48,1993
1,59.43,1993
2,30.13,1993
2,36.81,1993
2,76.92,1993
2,94.98,1993
2,6.77,1993
2,1205.82,1993
2,14.28,1993
2,68.87,1993
2,134.44,1993
2,12.8,1993
1,17.12,1993
3,363.86,1993
3,264.72,1993
3,29.97,1993
3,14.92,1993
3,77.02,1993
3,43.22,1993
3,78.3,1993
3,47.74,1993
3,20.11,1993
3,62.34,1993
1,78.41,1993
3,146.97,1993
3,14.21,1993
3,195.31,1993
1,9.96,1993
1,32.33,1993
1,62.93,1993
2,"6,00",1993
2,62.63,1993
2,825.92,1993
2,32.14,1993
1,23.62,1993
2,22.61,1993
2,245.22,1993
2,186.47,1993
2,15.72,1993
2,9.92,1993
3,30.1,1993
3,33.3,1993
3,17.33,1993
3,45.31,1993
3,149.97,1993
1,84.55,1993
3,74.79,1993
1,24.93,1993
1,35.81,1993
2,46.28,1993
2,498.28,1993
2,27.19,1993
2,276.76,1993
2,103.69,1993
2,32.88,1993
3,35.33,1993
2,13.53,1993
3,34.68,1993
3,22.09,1993
3,934.85,1993
1,108.03,1993
2,163.55,1993
2,193.74,1993
2,319.81,1993
2,170.96,1993
2,398.33,1993
2,716.19,1993
2,59.7,1993
3,47.2,1993
3,206.95,1993
3,11.69,1993
2,1033.99,1993
3,34.82,1993
3,167.88,1993
3,7.5,1993
3,362.79,1993
3,679.67,1993
3,7.05,1993
3,16.3,1993
3,182.51,1993
3,465.22,1993
2,46.93,1993
2,204.79,1993
2,384.65,1993
2,328.85,1993
2,69.87,1993
2,26.84,1993
2,15.42,1993
2,52.86,1993
2,155.33,1993
2,403.73,1993
2,16.62,1993
2,550.88,1993
2,246.73,1993
2,4.02,1993
2,348.47,1993
2,168.1,1993
3,351.27,1993
3,26.8,1993
3,558.49,1993
3,10.26,1993
3,76.02,1993
3,53.7,1993
2,44.24,1993
3,182.29,1993
3,867.13,1993
3,222.16,1993
2,35.5,1993
2,24.93,1993
2,32.73,1993
3,27.54,1993
3,125.52,1993
2,160.41,1993
1,7.74,1993
3,11.08,1993
2,127.16,1993
2,214.62,1993
2,109.77,1993
3,60.4,1993
1,56.24,1993
2,36.36,1993
1,19.58,1993
3,475.26,1993
2,121.14,1993
2,140.31,1993
3,429.58,1993
1,20.74,1993
1,28.87,1993
1,97.03,1993
1,87.42,1993
1,237.99,1993
1,4.42,1993
1,20.94,1993
1,7.83,1993
2,54.03,1993
2,53.24,1993
2,22.4,1993
2,99.32,1993
2,40.8,1993
2,87.37,1993
1,13.79,1993
2,92.96,1993
2,17.91,1993
2,49.48,1993
2,16.54,1993
2,72.22,1993
2,16.09,1993
2,27.68,1993
2,421.47,1993
2,79.28,1993
1,23.49,1993
2,65.05,1993
2,86.55,1993
2,49.13,1993
2,25.49,1993
2,26.97,1993
2,32.21,1993
2,"43,00",1993
2,16.56,1993
2,56.9,1993
2,424.8,1993
2,28.29,1993
1,27.13,1993
2,25.81,1993
2,42.68,1993
2,25.81,1993
2,9.05,1993
2,4.05,1993
2,40.82,1993
2,43.4,1993
3,47.84,1993
3,23.18,1993
3,22.13,1993
1,25.12,1993
1,38.35,1993
1,22.84,1993
1,78.81,1993
1,66.96,1993
2,51.35,1993
2,105.13,1993
1,165.3,1993
2,400.68,1993
2,409.54,1993
2,106.62,1993
2,112.72,1993
2,522.02,1993
2,305.68,1993
3,21.2,2000
3,7.79,2000
3,29.31,2000
3,231.55,2000
3,19.67,2000
3,176.21,2000
3,2115.51,2000
3,39.87,2000
3,165.13,2000
3,28.97,2000
3,25.32,2000
3,823.92,2000
3,49.34,2000
3,858.63,2000
3,202.46,2000
3,35.73,2000
3,24.21,2000
3,32.44,2000
3,109.15,2000
3,68.2,2000
3,273.63,2000
1,77.28,1999
1,6.14,1999
1,12.32,1999
1,120.61,1999
1,52.36,1999
1,55.23,1999
1,47.21,1999
1,19.87,1999
1,146.44,1999
1,36.06,1999
1,88.77,1999
1,101.59,1999
1,17.29,1999
1,93.02,1999
1,20.77,1999
1,39.1,1999
1,49.86,1999
1,63.32,1999
1,30.45,1999
1,206.85,1999
1,43.88,1999
1,46.78,1999
1,162.77,1999
1,153.49,1999
1,22.79,1999
1,25.81,1999
1,14.44,1999
1,68.68,1999
2,2384.21,1999
2,2804.86,1999
2,245.89,1999
2,42.69,1999
2,151.31,1999
2,446.74,1999
2,79.75,1999
2,15.35,1999
3,335.52,1999
2,12.21,1999
2,112.49,1999
2,42.46,1999
2,64.97,1999
2,58.4,1999
2,37.24,1999
2,36.26,1999
2,72.22,1999
2,79.13,1999
2,11.53,1999
3,58.21,1999
1,485.85,1999
1,146.28,1999
1,27.85,1999
1,58.03,1999
1,91.87,1999
1,200.98,1999
1,65.55,1999
1,15.13,1999
1,22.93,1999
3,150.3,1999
1,22.42,1999
1,15.09,1999
1,47.33,1999
1,225.28,1999
1,70.84,1999
1,9.45,1999
1,63.72,1999
1,49.08,1999
1,28.41,1999
1,71.19,1999
1,30.94,1999
1,114.92,1999
1,27.81,1999
3,223.35,2000
3,6.22,2000
3,83.89,2000
3,61.18,2000
3,32.92,2000
3,601.16,2000
3,316.8,2000
3,484.1,2000
3,82.51,2000
3,110.73,2000
3,519.97,2000
3,11.73,2000
3,72.81,2000
3,56.96,2000
3,98.83,2000
3,307.22,2000
3,86.17,2000
3,232.03,2000
3,"12,00",2000
3,11.36,2000
3,24.38,2000
3,8.73,2000
3,18.61,2000
1,25.29,1999
1,44.4,1999
1,43.23,1999
2,458.34,1999
2,58.39,1999
2,240.28,1999
2,60.89,1999
2,52.59,1999
2,87.32,1999
1,18.27,1999
2,270.28,1999
2,64.38,1999
2,31.59,1999
2,91.52,1999
2,60.4,1999
2,115.89,1999
2,72.79,1999
2,104.34,1999
2,63.35,1999
2,72.63,1999
1,15.38,1999
2,402.99,1999
2,317.16,1999
2,67.73,1999
2,15.67,1999
2,16.84,1999
2,20.03,1999
2,45.54,1999
2,145.56,1999
2,42.54,1999
3,263.23,1999
1,38.38,1999
1,120.29,1999
1,98.21,1999
1,23.07,1999
1,33.94,1999
1,34.31,1999
1,19.31,1999
1,14.12,1999
1,30.06,1999
1,16.63,1999
1,46.81,1999
1,21.9,1999
1,51.05,1999
1,6.16,1999
1,57.37,1999
1,47.35,1999
1,41.14,1999
1,376.61,1999
2,125.23,1999
1,254.18,1999
1,62.47,1999
2,214.41,1999
2,29.32,1999
2,82.81,1999
2,33.64,1999
2,62.4,1999
2,96.13,1999
2,87.67,1999
2,102.77,1999
2,250.7,1999
2,24.37,1999
2,13.14,1999
2,35.99,1999
2,531.64,1999
2,11.75,1999
2,18.51,1999
2,204.77,1999
2,56.72,1999
1,18.93,1999
2,172.55,1999
2,208.26,1999
2,286.91,1999
3,2474.94,2000
3,10478.77,2000
3,1423.07,2000
3,8.57,2000
3,22.88,2000
3,34.4,2000
3,309.23,2000
3,6283.56,2000
1,30.96,2000
1,24.07,2000
1,11.57,2000
2,56.12,2000
2,19.79,2000
2,152.85,2000
2,39.4,2000
2,28.12,2000
2,16.17,2000
2,78.7,2000
2,9.64,2000
3,23.77,2000
3,56.81,2000
3,1328.41,2000
3,588.04,2000
3,25.42,2000
2,31.55,1999
2,32.43,1999
2,16.01,1999
2,65.93,1999
2,18.95,1999
1,19.91,1999
1,89.08,1999
1,67.19,1999
3,68.28,1999
3,250.72,1999
1,113.81,1999
1,36.08,1999
1,73.91,1999
1,42.87,1999
1,32.95,1999
1,70.91,1999
1,79.31,1999
1,88.09,1999
2,128.12,1999
2,29.67,1999
1,119.16,1999
1,38.77,1999
3,161.64,1999
1,27.7,1999
1,51.22,1999
1,60.07,1999
1,32.71,1999
1,19.55,1999
2,28.69,1999
2,47.01,1999
1,194.23,1999
2,24.44,1999
1,12.72,1999
1,41.71,1999
1,57.11,1999
1,194.04,1999
1,73.96,1999
1,26.8,1999
3,26.56,1999
3,153.49,1999
1,468.37,1999
2,27.74,1999
2,5.68,1999
2,67.69,1999
2,105.1,1999
2,7.39,1999
2,209.77,1999
2,23.84,1999
2,18.85,1999
2,21.1,1999
2,2947.63,1999
1,130.41,1999
1,34.19,1999
1,31.32,1999
1,47.1,1999
1,40.17,1999
3,22.32,1999
1,20.36,1999
1,291.44,1999
1,125.71,1999
1,24.26,1999
1,29.09,1999
1,316.18,1999
1,80.62,1999
1,404.58,1999
1,33.08,1999
1,97.45,1999
1,76.9,1999
1,127.54,1999
1,17.4,1999
1,45.15,1999
1,226.1,1999
1,137.69,1999
1,39.95,1999
3,1031.16,2000
3,898.45,2000
3,361.18,2000
3,20.25,2000
3,22.82,2000
3,21.97,2000
3,35.91,2000
3,25.39,2000
3,68.65,2000
3,452.82,2000
3,29.37,2000
3,46.53,2000
3,349.73,2000
3,146.31,2000
3,169.34,2000
3,33.51,2000
1,59.47,2000
1,45.53,2000
1,83.86,2000
1,143.28,2000
1,341.91,2000
1,119.33,2000
1,282.68,2000
2,139.83,2000
2,34.49,2000
1,93.65,1999
1,93.91,1999
1,77.6,1999
1,41.58,1999
1,48.37,1999
3,22.59,1999
1,73.36,1999
1,131.48,1999
1,875.72,1999
1,124.2,1999
1,78.44,1999
1,72.83,1999
1,45.66,1999
1,198.32,1999
2,149.87,1999
2,713.68,1999
3,30.78,1999
2,59.24,1999
2,31.97,1999
2,258.51,1999
2,104.02,1999
2,8.88,1999
2,51.67,1999
2,41.34,1999
2,66.27,1999
2,219.67,1999
2,73.52,1999
2,20.03,1999
1,348.37,1999
1,56.98,1999
1,130.74,1999
1,96.18,1999
1,16.92,1999
1,6.35,1999
1,7.13,1999
1,128.48,1999
1,68.19,1999
3,38.3,1999
1,28.32,1999
1,13.2,1999
1,3.27,1999
1,21.29,1999
1,18.47,1999
1,46.49,1999
1,16.02,1999
1,28.11,1999
1,159.32,1999
1,100.17,1999
3,23.28,1999
1,"24,00",1999
1,1556.81,1999
1,38.87,1999
1,374.8,1999
1,109.78,1999
1,1454.7,1999
1,42.64,1999
1,33.65,1999
1,32.06,1999
1,28.03,1999
1,122.37,1999
1,65.82,1999
1,48.93,1999
1,2031.96,1999
2,80.84,1999
2,45.01,1999
1,128.88,1999
2,268.57,1999
1,105.18,1996
2,66.92,1996
2,84.18,1996
2,131.67,1996
1,80.26,1996
2,219.6,1996
2,12.16,1996
1,43.94,1999
1,220.25,1999
1,31.52,1999
1,35.07,1999
3,7.88,1999
3,57.96,1999
1,23.26,1999
1,14.07,1999
1,18.14,1999
1,26.59,1999
1,87.97,1999
1,63.69,1999
1,44.6,1999
1,35.46,1999
1,8.5,1999
1,84.86,1999
1,151.78,1999
1,17.36,1999
2,26.93,1999
2,44.76,1999
2,34.25,1999
2,65.54,1999
1,284.85,1999
2,37.66,1999
2,33.6,1999
2,85.07,1999
2,105.61,1999
2,45.87,1999
2,699.76,1999
2,152.29,1999
2,84.21,1999
2,88.15,1999
2,73.92,1999
1,120.18,1999
2,"74,00",1999
2,71.55,1999
2,70.11,1999
2,165.71,1999
2,132.97,1999
2,135.82,1999
2,139.88,1999
2,64.32,1999
2,124.22,1999
2,31.33,1999
1,31.7,1999
2,63.92,1999
2,220.09,1999
1,13.9,1999
1,192.95,1999
1,20.58,1999
1,7.37,1999
1,21.69,1999
1,27.48,1999
1,27.43,1999
3,59.07,1999
1,30.83,1999
1,115.26,1999
1,81.47,1999
1,17.42,1999
1,136.88,1999
1,196.35,1999
1,210.32,1999
1,435.23,1999
1,16.57,1999
1,17.73,1999
1,105.56,1999
1,63.6,1999
1,22.43,1999
2,29.51,1999
2,35.27,1999
2,12.06,1999
2,56.06,1999
2,1338.03,1999
2,937.94,1999
2,1000.06,1999
1,37.26,1999
2,46.74,1999
2,84.79,1999
2,18.36,1999
2,40.8,1999
2,246.67,1999
2,127.36,1999
2,162.74,1999
1,47.07,1999
1,49.21,1999
1,245.74,1999
1,32.53,1999
1,45.72,1999
2,16.42,1999
2,219.92,1999
1,120.91,1999
2,58.46,1999
2,73.46,1999
2,10.85,1999
2,23.75,1999
2,97.06,1999
2,25.02,1999
2,867.72,1999
1,35.37,1999
2,98.06,1999
2,176.06,1999
2,783.52,1999
2,61.25,1999
2,72.46,1999
2,39.1,1999
2,21.1,1999
1,39.78,1999
1,36.82,1999
1,123.25,1999
2,86.37,1999
2,135.47,1999
2,353.03,1999
2,144.2,1999
2,63.76,1999
1,29.64,1999
1,58.46,1999
1,104.13,1999
1,86.54,1999
1,738.18,1999
1,75.43,1999
1,48.1,1999
1,85.81,1999
1,60.16,1999
1,231.24,1999
2,143.16,1999
2,21.74,1999
2,23.1,1999
2,31.3,1999
2,292.63,1999
1,193.95,1999
2,89.62,1999
2,227.66,1999
2,84.25,1999
2,16.63,1999
2,27.48,1999
3,10.22,1999
1,2.53,1999
1,34.43,1999
1,115.8,1999
1,64.6,1999
1,81.97,1999
1,18.08,1999
1,35.39,1999
1,709.6,1999
1,155.39,1999
1,121.78,1999
3,282.13,1999
1,42.74,1999
1,190.77,1999
1,17.05,1999
1,30.33,1999
1,48.64,1999
1,31.45,1999
1,12.2,1999
2,33.7,1999
2,34.19,1999
2,2300.01,1999
2,108.04,1999
1,21.66,1999
1,19.65,1999
1,13.93,1999
1,42.16,1999
1,27.73,1999
2,29.04,1999
2,543.97,1999
2,46.64,1999
3,49.69,1999
3,437.99,1999
1,50.75,1999
1,95.7,1999
1,34.63,1999
1,81.22,1999
1,54.49,1999
1,701.18,1999
1,162.2,1999
1,169.67,1999
1,31.51,1999
1,18.52,1999
1,182.3,1999
1,3.33,1999
1,2.32,1999
1,39.35,1999
1,38.55,1999
1,229.06,1999
1,81.37,1999
1,110.46,1999
1,421.82,1999
1,92.47,1999
1,8.53,1999
1,30.76,1999
1,109.79,1999
1,171.53,1999
1,13.26,1999
1,16.92,1999
1,174.83,1999
1,22.48,1999
1,31.86,1999
1,23.25,1999
1,206.96,1999
1,181.71,1999
1,7.85,1999
1,27.19,1999
1,25.2,1999
2,84.35,1999
2,44.52,1999
2,209.09,1999
1,210.9,1999
1,198.57,1999
1,79.4,1999
1,1563.94,1999
1,20.76,1999
1,19.99,1999
1,166.12,1999
1,67.97,1999
1,13.89,1999
1,170.71,1999
1,55.46,1999
1,30.33,1999
1,44.77,1999
1,117.72,1999
1,95.93,1999
1,5.56,1999
1,21.59,1999
1,100.4,1999
1,24.18,1999
1,166.13,1999
1,16.84,1999
1,18.54,1999
1,349.84,1999
1,104.53,1999
1,58.99,1999
1,25.12,1999
1,41.66,1999
1,14.9,1999
2,817.45,1999
2,524.65,1999
2,23.53,1999
2,6.63,1999
2,308.02,1999
2,12.84,1999
2,28.47,1999
1,76.32,1999
2,8.77,1999
2,13.04,1999
2,20.75,1999
2,759.09,1999
1,52.4,1999
1,53.69,1999
2,204.76,1999
2,333.14,1999
2,66.25,1999
2,78.43,1999
2,472.65,1999
2,375.54,1999
2,386.61,1999
2,166.06,1999
3,924.3,1999
2,88.58,1999
2,71.72,1999
2,107.22,1999
2,732.96,1999
3,283.41,1999
2,1316.56,1999
2,33.35,1999
2,714.16,1999
1,40.19,1999
1,13.63,1999
1,14.51,1999
1,21.88,1999
1,11.85,1999
2,69.25,1999
2,100.6,1999
2,79.56,1999
2,260.13,1999
2,70.62,1999
2,23.01,1999
2,27.01,1999
1,10.39,1999
2,13.44,1999
1,33.95,1999
1,28.93,1999
1,17.32,1999
1,60.59,1999
1,305.92,1999
1,41.91,1999
1,10.5,1999
1,78.84,1999
